SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
BNI_1-29006,1281,647,2954,1734,445,4174,5163,3122,1097,5844,2802,4170,1987,3510,771,1476,2078,703,1542,1941,4081,1192,5413,4544,799,6295,8199,5779,3974,4350,203,474,582,2442,1067,1241,2417,1797,273,2905,6080,3175,1152,5557,2778,4263,2002,4354,712,1521,1370,925,1471,2099,4714,1545,5510,4300,1101,7212,6790,6057,3980,3456,344,386,480,2340,2.25568,2.25809,95766.7,95372.1,1.79074e+06
BNI_1-29007,1133,954,2703,1766,575,4075,5799,3821,1109,6271,3071,3985,1942,3423,1282,1509,2034,700,1323,1631,4333,1273,5084,4830,946,7175,9161,6604,4230,3715,208,559,419,2888,1316,1226,2956,1840,360,4390,6509,2882,826,5875,3097,3934,2011,3543,833,1921,1489,950,1885,1982,4173,1431,5119,5432,844,7751,8239,6281,4741,4432,271,427,403,2616,2.44564,2.4348,100533,101988,1.8166e+06
BNI_1-29008,860,619,2325,1525,362,3328,4100,3118,843,4634,2386,3033,1869,3085,543,1292,1890,517,1148,1459,3836,1060,4232,3961,804,5084,6905,5788,3527,4055,208,472,364,1949,840,550,1570,1726,284,3140,3884,2751,799,5016,2624,3432,1644,2824,531,1749,1575,703,1343,1711,4400,1066,4522,4007,903,6019,6755,5467,3513,3869,272,462,331,2043,2.3237,2.31161,81182.6,82327.4,1.34946e+06
BNI_1-29009,1067,595,2001,1423,335,2705,4915,3219,665,4788,2471,3563,1703,3352,726,1505,1497,678,1104,1390,3841,1092,4809,2581,760,4881,6740,5641,4184,4183,173,482,506,2200,1066,793,1919,1447,433,2782,5448,2998,980,4622,2246,3200,1580,3504,663,1319,1194,694,1459,1464,3757,1021,4314,3484,682,4985,5935,6011,3660,3682,259,400,339,2335,2.32953,2.3758,81772.1,80674,1.45163e+06
BNI_1-29010,1154,627,2079,1472,625,3946,4701,3437,1072,4201,2484,3107,1855,3104,716,1349,1890,662,1274,1531,4748,1331,5648,3552,791,5010,7067,6350,4575,4717,261,559,561,2308,1307,703,2419,1336,268,3698,5512,3386,1069,4247,2904,2989,1949,3681,676,1600,1278,838,1275,1504,3899,1297,5022,3431,536,6231,7251,5595,4280,4311,364,480,329,2085,2.30911,2.31997,88762.7,87750.9,1.47376e+06
BNI_1-29012,1063,570,2319,1294,429,3240,4073,3222,649,3550,2047,2680,1559,2517,819,1238,1266,641,1155,1153,4239,1018,5254,3364,605,4916,5880,4463,3383,3597,184,461,430,1906,718,673,2001,1163,320,2929,5223,2935,646,3735,2037,3111,1551,2885,655,1251,1194,669,1222,1244,3741,993,4887,3762,397,5128,6449,4718,3127,3100,248,356,283,1734,2.28248,2.31413,75182.9,75083.8,1.39397e+06
BNI_1-29013,1465,943,2776,1757,464,4119,6050,3270,1353,5175,3034,4006,2318,3644,874,1411,2142,720,1228,1658,5000,1516,5142,4542,1101,6651,8542,6229,4643,4759,212,559,545,2561,1207,897,2466,1765,233,3905,6935,3639,1161,4653,3138,3848,2192,4242,926,1467,1649,888,1552,1786,4932,1320,5545,5255,779,6286,9042,6550,4223,4270,300,415,460,2411,2.24687,2.23838,100409,100335,1.78004e+06
BNI_1-29014,941,536,1952,1414,459,3561,4429,3395,969,4127,2487,3014,1776,2942,644,1279,1544,588,1118,1344,3737,1099,5233,3630,712,4866,6526,5140,3178,3534,219,571,379,1974,828,681,1847,1383,293,3080,5433,2979,706,4017,2401,3168,1850,3127,639,1264,1047,828,1182,1420,3835,1157,4888,3780,539,5890,5954,5218,3308,3224,289,442,247,2292,2.3232,2.32514,79319.7,79236.1,1.62309e+06
BNI_1-29015,935,413,1821,1376,408,2937,4942,2665,938,4433,2235,3085,1965,3005,631,1608,1584,508,1188,1244,4116,978,4244,3433,755,4569,6470,5198,3438,3564,223,434,505,1908,829,720,1607,1628,271,2951,5239,2801,664,4167,2314,2992,1702,3053,692,1305,1220,615,1593,1475,3744,1049,4229,3888,753,4590,6045,5436,3309,3653,269,312,346,2110,2.29684,2.33827,77754.1,77570.4,1.12879e+06
BNI_1-29016,1281,622,2225,1402,446,3605,5552,3480,1078,4705,2520,3142,2055,3559,705,1334,1847,573,1276,1297,4228,1149,4793,4091,825,5889,7987,5538,4442,4362,202,426,507,2369,1076,984,2359,1633,276,3383,5693,3883,898,4037,2300,3097,1844,3936,737,1964,1209,739,1439,1417,4350,1286,5017,4357,824,6031,7463,5619,3656,4429,250,573,402,2318,2.53387,2.51891,89511.2,89481,1.74874e+06
BNI_1-29018,1133,656,2017,1725,367,3938,4829,3062,918,5089,2230,3037,1779,2883,712,1011,1539,563,957,1405,3838,1035,4919,3952,857,5837,7203,5110,3985,3987,183,489,439,2143,952,679,2203,1752,360,3503,5443,3322,732,4507,2085,3041,1668,3173,524,1598,1345,807,1453,1585,3759,1192,4491,4303,631,6416,6848,4866,3524,3962,241,472,357,1996,2.26873,2.29591,83823.7,83787.8,1.61307e+06
BNI_1-29019,1050,647,2122,1303,362,2759,5266,3077,1304,4354,2467,2948,1860,3705,735,1002,1697,619,1279,1006,4228,1102,4803,4226,889,5237,7003,5901,3391,3971,229,403,364,2124,1035,616,2051,1613,316,3122,5993,2814,885,4530,2313,2565,1920,3452,680,1862,1306,886,1442,1422,4162,1327,5203,3880,516,5177,7227,5389,3322,3888,269,372,389,2262,2.4111,2.36057,83433.7,84207.2,1.53164e+06
BNI_1-29021,1404,664,2634,1453,472,3450,5494,3474,936,4820,2429,3312,2091,3231,636,1252,2125,542,1373,1393,4401,1085,4744,3886,936,6107,7559,5570,3610,3744,231,546,470,2169,953,1028,2318,1527,375,3571,6256,3906,765,4076,2582,3050,1799,3567,608,1550,1372,826,1923,1527,4249,1106,4988,4273,1130,5839,7406,5219,3403,3408,314,518,373,2278,2.44096,2.42899,88242.7,88086,1.7037e+06
BNI_1-29022,960,646,2225,1508,371,3349,4298,3051,1302,4304,2330,2773,1613,3246,539,1175,1852,595,1734,1576,4019,1367,3887,3444,794,5066,6911,4472,3451,3052,216,479,452,2011,902,777,2388,1552,246,3029,5368,2826,1020,4099,2381,3126,1583,3296,599,1286,1797,670,1791,1777,3717,1032,4144,3691,729,5161,6575,4523,3334,2900,221,384,305,2310,2.38858,2.43158,79070.2,79537.5,1.39028e+06
BNI_1-29023,1032,576,2033,1457,502,3420,4654,3229,733,4614,2462,2887,1714,2778,686,1144,1673,519,1181,1216,4186,1171,4955,3764,866,4973,6678,4718,3658,3967,272,515,452,2202,958,764,1977,1697,406,3320,5377,3130,682,4334,2570,2911,1726,3159,674,1663,1157,703,1005,1442,3782,1092,4689,3986,658,5468,6810,5236,3546,3934,277,408,377,2149,2.44449,2.47104,80887.7,82069.5,1.52808e+06
BNI_1-29024,1378,778,2871,1470,470,3959,5044,3949,1089,4333,2756,3044,2156,3726,839,1414,1671,698,1313,1286,4803,1652,4796,4295,1181,6068,7483,5633,4159,4134,193,472,433,2434,1100,873,2331,1702,301,3487,5471,3454,778,5239,2619,2923,1741,3614,803,1988,1421,868,1398,1355,4247,1577,5352,4745,899,6743,7809,5673,4066,4661,339,484,489,2714,2.32232,2.33188,91981.6,93261.8,1.86264e+06
BNI_1-29025,991,435,2343,1258,466,3250,3738,3034,829,5224,2314,2644,1653,2566,574,1312,1479,616,1313,1202,3480,841,4899,3536,724,5082,6961,5030,3762,3218,175,460,513,2010,940,905,1908,1523,413,2674,4756,2818,866,4660,2356,2732,1605,3113,582,1618,1326,736,1359,1298,3474,980,4992,3083,831,5866,6232,5447,3051,2963,274,441,345,2380,2.47053,2.51344,77931.1,78547.2,1.53387e+06
BNI_1-29026,881,450,2013,1446,316,3051,4468,2818,907,4150,2231,3272,1805,2779,687,1327,1455,560,1241,1005,4121,1071,4538,3252,690,4687,6277,4879,3885,3568,187,477,402,2049,1042,556,1677,1269,318,3225,4711,2816,660,4009,2073,2747,1732,3091,614,1441,1225,621,1820,1189,4029,1072,4264,4004,535,4834,6288,4673,3275,4024,265,294,367,1987,2.30382,2.31533,76946.2,76749.5,1.383e+06
BNI_1-29027,1141,804,2217,1471,446,3915,4930,3106,767,4604,2396,2616,1720,3146,717,1225,1761,601,1304,1195,3916,1222,4629,4077,886,4679,6241,5874,3973,4592,202,581,424,2270,745,638,1715,1596,379,3563,5508,3596,654,4813,2500,2943,1495,3315,687,1331,1231,696,1537,1206,3815,1055,4492,4488,590,6225,6692,5176,3250,3750,279,368,351,2093,2.31155,2.27027,83650,82770.4,1.50645e+06
BNI_1-29028,1280,577,2233,1586,342,4379,5322,3688,965,5872,2155,3382,1737,3452,841,1562,1282,594,1290,1758,5035,970,5734,3707,806,5904,7155,4485,3771,4646,222,574,433,1903,1132,702,3090,1512,262,3654,6765,3334,712,5123,2098,3475,1913,3817,795,1602,1345,627,1251,1688,3599,924,5252,4474,773,7194,7875,4544,3376,3430,334,350,336,2312,2.65099,2.66053,89639.5,89673.7,1.41785e+06
BNI_1-29029,1317,673,2208,1482,280,3396,4684,3466,959,4873,2463,3390,1370,3455,562,1116,1748,624,1199,1223,4076,1503,4305,3534,815,5988,6911,5802,3495,3954,140,459,360,2454,1134,709,2091,1676,340,2906,5355,3588,986,4790,2494,3074,1613,3756,534,1279,1331,774,1688,1431,4100,1231,4452,3948,638,5768,7118,5143,3192,3445,289,408,300,2034,2.57068,2.57244,84285.1,83614.8,1.41412e+06
BNI_1-29030,673,620,1703,1379,450,3335,4933,2981,866,4423,2024,2813,1686,2461,655,1102,1324,568,1306,1367,4130,1038,3925,3165,646,4806,6473,4654,3892,3874,213,380,379,2171,919,495,1715,1078,372,2814,5668,2597,848,4115,2111,3033,1639,3083,674,1298,1210,783,1463,1414,3639,981,4571,3607,548,4781,6446,4833,3394,3386,238,486,304,2269,2.58428,2.60009,76416.2,76810.5,1.49162e+06
BNI_1-29031,1358,943,3288,1567,571,3736,5198,3744,1124,5338,3085,3460,2011,3618,859,1652,1575,706,1128,1372,4618,1450,5498,4431,1015,6587,8323,6233,4946,5430,172,635,465,2399,1114,1184,2363,1618,314,3777,6509,4009,1057,5446,3071,3270,1990,4140,848,1852,1311,935,1954,1452,4405,1406,5088,5123,985,7494,7944,6687,4570,4523,335,409,452,2281,2.44851,2.47129,98534.9,99916.5,1.95327e+06
BNI_1-29032,742,529,2693,833,489,3720,3900,2893,1330,5118,2411,3799,1510,2850,709,1257,1616,592,1246,1308,4089,1115,5000,4657,790,6200,6617,6691,4495,4918,217,531,548,1956,886,941,2023,1616,352,3030,4549,3604,1001,4879,2195,3816,1710,3803,687,1345,1190,733,1423,1661,4023,1261,5172,3870,599,5629,7477,5719,3910,3946,287,386,372,2042,2.41289,2.39487,87367.6,86135.4,1.27987e+06
BNI_1-29033,931,486,2150,1208,400,3255,4781,2967,1122,4656,2096,3017,1818,2766,719,1533,1262,539,1179,1241,4359,1148,4655,3506,606,4738,7308,5247,3396,3866,187,367,513,2085,853,721,1817,1455,290,2956,5451,2913,838,3969,2175,2795,1546,3321,717,1438,1237,777,1273,1296,3746,1129,4467,4357,666,5409,6751,5575,3564,4190,255,353,283,2073,2.321,2.28095,80105.9,80657.3,1.29035e+06
BNI_1-29034,1437,626,2393,1892,477,3350,5542,3588,987,4888,2730,4074,2067,3875,675,1536,1807,646,1323,1737,4481,1245,5002,4168,1046,6707,7418,6016,4295,4800,213,424,495,2187,1295,1092,2815,1945,232,3298,7230,3241,827,4549,2770,3769,1785,4199,748,1574,1738,880,1826,2013,4389,1510,5245,4722,1079,5550,7121,5732,3993,4036,212,497,420,2299,2.51674,2.50061,94146.5,94631.9,1.74402e+06
BNI_1-29035,1021,669,2808,1658,410,4145,4885,3520,928,4981,2585,3746,1939,2962,755,1501,1573,662,953,1533,4568,1332,5674,4683,807,5240,7633,5992,4196,4773,240,512,605,2122,882,873,2069,1571,390,3374,5520,3788,1064,4941,2535,3329,1945,3738,698,1609,1739,763,1310,1722,4257,1286,4857,4502,699,6439,8123,6404,3975,4558,319,497,381,2351,2.38148,2.42851,91611.4,92510.7,1.64132e+06
BNI_1-29036,1143,680,2455,1751,550,3931,4967,3445,866,5033,2610,3298,1951,3232,774,1183,1413,599,1117,1462,4905,1085,5249,4581,976,6236,6820,5682,4314,4261,236,568,464,2199,841,707,2248,1409,381,3743,5346,4060,883,5481,2538,3355,1910,3510,727,1490,1688,768,1326,1525,4428,1308,5013,4760,627,6569,6813,6481,3622,3819,296,511,375,2443,2.38264,2.39261,90034.4,91002.8,1.31662e+06
BNI_1-29037,1218,769,2112,1513,405,3899,5288,5075,1063,5683,2794,3619,2082,3975,830,1355,1539,851,1538,1722,4900,1287,6289,3743,985,6574,8098,5447,4254,4265,233,568,578,2384,1234,1006,1850,1463,180,4345,6720,3554,1124,5178,2950,3868,2116,4029,734,1646,1789,983,2410,1728,5407,1236,6837,4057,901,6317,6701,5461,4396,3673,323,490,385,2558,2.51052,2.52584,96934.3,97651.4,1.898e+06
BNI_1-29038,1007,576,2255,1610,398,3553,4510,3503,693,5058,2141,3457,1640,3211,791,1524,1992,656,1367,1404,4436,1062,5498,3925,748,5801,7722,6440,3877,4174,249,505,554,1848,1128,660,3008,1600,351,3242,5704,3005,818,5072,2096,3483,1902,3373,711,2051,1297,672,1510,1830,5089,1515,5488,3819,549,6114,8099,5763,3829,3679,359,480,493,2218,2.31136,2.28804,88184.2,91004.9,1.66067e+06
